Gossiping,17905,【八卦】八卦版主初選投票開始囉
NBA,3947,"[NBA ] 6/17(五)9:00 冠軍賽Game6"
Baseball,2908,"[棒球] "
LoL,2586,"[LoL] 20天短期石像工讀生招募中"
C_Chat,2255,"[希洽] 星爆氣流斬斬斬斬斬(回音)"
WomenTalk,1798,"[女板] 六月雪"
Stock,1526,"[股板] 委託書紀念品股東問答置底"
marvel,1454,"[媽佛] 雨中吃粽子時 回首看見..."
Boy-Girl,1427,"[男女] 文章內要有男女點"
Tech_Job,1253,"[科技] 工作辛苦 也要多關心家人"
Japan_Travel,1163,"請先確認護照的名字是自己 不然會"
movie,1156,"[電影] 天氣熱 到電影院吹冷氣>_<"
BabyMother,1137,"[媽寶] 快樂的爸媽 快樂的寶寶"
MobileComm,1094,"[Mobile Communication]"
OverWatch,1032,"[鬥陣] 英雄心得比賽籌備中"
car,896,沒有紅燈之束縛，何來綠燈之自由
KoreaStar,879,"[韓星] "
BuyTogether,820,"[合購] 發文前請詳閱板規"
PuzzleDragon,810,"[龍拼] PAD大哉問 龍騎姬在哪"
marriage,779,"[婚姻] 6/14新板規上路&板主招募~"
Hunter,722,"[獵人] 伝u ×再開!!"
PlayStation,657,"[PS4] E3發表會影片內容請見置底"
e-shopping,634,"[ＥＳ] 板規每天都在置底哭"
Hearthstone,633,"[爐石] "
joke,542,"    ＝ 本看板進行投票中 ＝"
PC_Shopping,536,"[電蝦] 除錯請至hardware"
MakeUp,521,"[美妝] 打擊假心得！購物前請三思"
Beauty,519,《表特板》帥哥美女板
Elephants,513,"6/15 12:30 下半季門票開賣，象迷"
StupidClown,500,抱歉啊年輕人
Lifeismoney,498,"[省錢] 省錢中感恩！感恩中省錢！"
AllTogether,490,"[歐兔] ５２０ 我愛你"
KR_Entertain,429,"[韓綜] Couple徵文進行中"
EAseries,421,"[影集] 這裡是歐美影集板!!!"
iPhone,416,"[iOS] iOS 10 beta來囉"
home-sale,396,"[房版] 發文前請詳閱置底文"
WOW,391,"[WoW]發推文前注意版規 Legion9/1"
Tainan,390,"[台南板] 發文前請先看板規"
creditcard,379,"發文前請先爬文 避免誤觸板規"
