→,cater0402,": 消毒????","06/10 14:34"
噓,XDos,": 仇2","06/10 14:34"
噓,gn1384181,": 台灣是民主國家，沒有一個人必須為自己的認同而受到歧","06/10 14:34"
→,cater0402,": 八卦吱吱起手式:支那賤畜滾回去，疑，怎麼好像","06/10 14:34"
推,oncemore,": 會怕吼www","06/10 14:34"
推,BanJarvan4,": 外省人 客家人表示:","06/10 14:34"
推,tsitned,": 支那賤畜黨滾出台灣","06/10 14:34"
→,gn1384181,": 視=>在八卦版不是這樣啊XDDD","06/10 14:34"
→,CYL009,": 吱吱不要再罵榮民了  已經有指示了","06/10 14:34"
推,victoryman,": 推","06/10 14:34"
→,qooisgood,": 民政府平常都沒人理 現在跟中國黨一起炒冷飯","06/10 14:34"
噓,floz,": 還不是你們民進黨奶出來的","06/10 14:34"
→,zainc,": 只是說出實話","06/10 14:34"
→,qooisgood,": 民進黨有事嗎？","06/10 14:35"
推,jun1981,": 蛆蛆沒救了","06/10 14:35"
→,f204137,": 就我認識的榮民   大多誠實多了~","06/10 14:35"
推,bravo,": ...","06/10 14:35"
噓,cater0402,": 八卦吱吱起手式:支那賤畜滾回去，疑，怎麼好像","06/10 14:35"
→,gn1384181,": 在八卦版顏色要是不對是要被歧視和被言語羞辱的","06/10 14:35"
推,makoto0952,": 上級指示勿歧視，請各級同志遵照辦理","06/10 14:35"
推,jennykam,": 時代力量怎麼還不出來呢??","06/10 14:35"
推,ImBBCALL,": 吱吱以後要乖點了XDDDD","06/10 14:35"
噓,G41271,": 明明就說的很好，有啥好譴責的，該譴責的是榮民吧","06/10 14:35"
噓,Mayinggo,": 說實話臭了喔","06/10 14:35"
推,foolfighter,": 國民黨有譴責過愛國同心會嗎？ 沒有嘛","06/10 14:36"
噓,tsitned,": 支那賤畜馬狗","06/10 14:36"
推,leo0206,": 認同本篇","06/10 14:36"
→,hunt5566,": 哈哈 偏激吱被主子打臉","06/10 14:36"
推,zzzzzzzzz,": 那個本來就不是獨派 是詐騙集團","06/10 14:36"
推,ipadmini6,": 風向又要變了XDD","06/10 14:36"
推,exporn,": 尊重當的領導，好嗎","06/10 14:36"
→,hatenese,":                           板上某些吱吱被主子狠狠打臉","06/10 14:36"
推,jeanniewoo,": 推 重點在仇恨言論 一堆人開始帶風向","06/10 14:36"
→,gn1384181,": 主子表態了，八卦版的綠畜皇民黨工要轉彎了嗎?XD","06/10 14:36"
→,Raogo,": 那個本來就是統派阿","06/10 14:36"
推,Benbenyale,": 切割切割 切割偏激份子","06/10 14:36"
推,oncemore,": 民進黨會支持榮民   根本頭殼壞掉  選舉前罵得多難聽","06/10 14:37"
→,blackone979,": 民進黨要替台灣民政府負責？那你們要不要替新黨那群","06/10 14:37"
噓,alvinpon,": 台灣是民主國家？？你們他媽的不是在WHA向全世界說中華","06/10 14:37"
→,ImBBCALL,": 吱吱坔仇恨言論有少過嗎。哈哈","06/10 14:37"
→,blackone979,": 老番顛的言行負責啊？","06/10 14:37"
推,jun1981,": 蛆蛆別假了隔壁的影片早就看出來了","06/10 14:37"
→,alvinpon,": 台北？蔡英文也說沒矮化不是？","06/10 14:37"
推,cowboyz1105,": 黨工:素豬背後有中國撐腰 dpp是無辜的","06/10 14:37"
→,minoru04,": 反觀各種仇台言論KMT不切還整個黨撩下去一起罵","06/10 14:38"
推,orinsinal,": 切割啦 哈哈哈","06/10 14:38"
→,gn1384181,": 洪素珠的歧視言論放在八卦板根本是吱吱每日任務啊XDD","06/10 14:38"
推,cater0402,": 吱吱們，出來吃香蕉啦","06/10 14:38"
噓,b51ak47,": 根本種族歧視","06/10 14:38"
推,voyhanxu,": 次 元 刀!  ! !","06/10 14:38"
→,gn1384181,": 洪素珠的言論跟八卦版吱吱的激進言論比起來我覺得都算","06/10 14:38"
推,FantasyNova,": 八卦板每個人心裡都住著一個洪素珠 正常能量 別緊張","06/10 14:38"
→,orinsinal,": 吱吱還在支那賤畜 被主子打到臉都腫了","06/10 14:38"
→,gn1384181,": 輕微了","06/10 14:38"
→,reaturn,": 哈欠~","06/10 14:39"
噓,wooribin,": 何不學KMT從不譴責暴力打人愛國同心會跟新黨","06/10 14:39"
→,omanorboyo,": 吱吱能乖點 主子都說話了","06/10 14:39"
噓,balahaha,": 幹 我不是外省人看到那影片真的超沒水準","06/10 14:39"
→,hatenese,":                       這下連教主都要切割某些信眾了","06/10 14:39"
推,now99,": 轉來轉去","06/10 14:39"
噓,qaz0314,": 不要偷罵蔡正元","06/10 14:39"
→,hatenese,":              這下連教主都要切割某些信眾了 幫信徒QQ","06/10 14:40"
推,aakkdd,:,"06/10 14:40"
推,foolfighter,": 連戰、郝伯村用皇民說撕裂族群，你有看過國民黨譴責","06/10 14:40"
推,oncemore,": 八卦版連自己爸媽都能罵還附加公審  罵個路人臭了嗎","06/10 14:40"
→,foolfighter,": 嗎？","06/10 14:40"
推,ImBBCALL,": 把民政府說是統派也得了吧，一般指涉的統派還不是跟中","06/10 14:40"
→,ImBBCALL,": 國統，說跟日本美國統也是統派的別鬧了","06/10 14:40"
推,victoryman,": 推DPP 只有向邱禿那種人才是散播仇恨","06/10 14:41"
→,CYL009,": DPP這樣才是正確的啊  就還是有些人執迷不悟 還拿KMT救援","06/10 14:41"
→,CYL009,": 真的會哭喔","06/10 14:41"
→,freef1y3,": 反族群仇恨那要怎麼罵吱吱綠畜皇民","06/10 14:41"
推,gn1384181,": 民政府不過是台灣主權未定論的吱吱 不同派別的而已","06/10 14:41"
推,greedypeople,": 反觀KMT  愛國同心會打人都裝瞎","06/10 14:41"
推,omanorboyo,": 別在本省外省了 還不都從大陸溜過來的","06/10 14:41"
→,shino95995,": 反觀個屁? 台灣就沒幾個人了還在內鬥 一群白癡","06/10 14:41"
→,gn1384181,": 廣義來說都算獨派 主張脫離中華民國、台灣人自覺獨立","06/10 14:42"
→,hatenese,":              只准吱吱帶風向，不准鄉民說心得","06/10 14:42"
→,omanorboyo,": 早來一點就靠么後到的 原住民都沒講話了","06/10 14:42"
→,gn1384181,": 然後再加入美日","06/10 14:42"
推,ImBBCALL,": 系出同門啊","06/10 14:42"
推,orinsinal,": 吱吱教主出來打八掛猴子啦","06/10 14:42"
→,shino95995,": 台灣早就實質獨立了 台獨她媽的只是民進黨丟的假議題","06/10 14:42"
推,NowQmmmmmmmm,": 她又不是民進黨的，黨工很會抹黑","06/10 14:42"
推,kruzin,": 原住民: 我說在座的各位都是中國難民","06/10 14:43"
