"key","household"
"南投縣中寮鄉中寮村",250
"南投縣中寮鄉內城村",205
"南投縣中寮鄉八仙村",347
"南投縣中寮鄉和興村",294
"南投縣中寮鄉崁頂村",199
"南投縣中寮鄉廣福村",224
"南投縣中寮鄉廣興村",369
"南投縣中寮鄉復興村",106
"南投縣中寮鄉永和村",229
"南投縣中寮鄉永平村",737
"南投縣中寮鄉永福村",571
"南投縣中寮鄉永芳村",198
"南投縣中寮鄉清水村",368
"南投縣中寮鄉爽文村",221
"南投縣中寮鄉福盛村",343
"南投縣中寮鄉義和村",407
"南投縣中寮鄉龍安村",304
"南投縣中寮鄉龍岩村",282
"南投縣仁愛鄉中正村",307
"南投縣仁愛鄉互助村",427
"南投縣仁愛鄉力行村",200
"南投縣仁愛鄉南豐村",461
"南投縣仁愛鄉合作村",233
"南投縣仁愛鄉大同村",686
"南投縣仁愛鄉新生村",142
"南投縣仁愛鄉春陽村",363
"南投縣仁愛鄉榮興村",41
"南投縣仁愛鄉法治村",246
"南投縣仁愛鄉發祥村",359
"南投縣仁愛鄉精英村",272
"南投縣仁愛鄉翠華村",263
"南投縣仁愛鄉萬豐村",209
"南投縣仁愛鄉親愛村",477
"南投縣仁愛鄉都達村",251
"南投縣信義鄉人和村",419
"南投縣信義鄉同富村",635
"南投縣信義鄉地利村",322
"南投縣信義鄉愛國村",227
"南投縣信義鄉新鄉村",187
"南投縣信義鄉明德村",659
"南投縣信義鄉望美村",559
"南投縣信義鄉東埔村",367
"南投縣信義鄉潭南村",225
"南投縣信義鄉神木村",305
"南投縣信義鄉羅娜村",514
"南投縣信義鄉自強村",320
"南投縣信義鄉豐丘村",271
"南投縣信義鄉雙龍村",229
"南投縣南投市三和里",1201
"南投縣南投市三民里",362
"南投縣南投市三興里",2173
"南投縣南投市仁和里",211
"南投縣南投市光明里",557
"南投縣南投市光榮里",604
"南投縣南投市光華里",461
"南投縣南投市光輝里",229
"南投縣南投市內新里",554
"南投縣南投市內興里",2659
"南投縣南投市千秋里",364
"南投縣南投市南投里",270
"南投縣南投市嘉和里",1822
"南投縣南投市嘉興里",790
"南投縣南投市崇文里",425
"南投縣南投市平和里",2651
"南投縣南投市平山里",2107
"南投縣南投市康壽里",653
"南投縣南投市彰仁里",176
"南投縣南投市振興里",793
"南投縣南投市新興里",1914
"南投縣南投市東山里",172
"南投縣南投市永興里",274
"南投縣南投市永豐里",1094
"南投縣南投市漳和里",2742
"南投縣南投市漳興里",1061
"南投縣南投市營北里",2478
"南投縣南投市營南里",889
"南投縣南投市福山里",691
"南投縣南投市福興里",1162
"南投縣南投市軍功里",1838
"南投縣南投市鳳山里",427
"南投縣南投市鳳鳴里",271
"南投縣南投市龍泉里",416
"南投縣名間鄉三崙村",543
"南投縣名間鄉中山村",848
"南投縣名間鄉中正村",1328
"南投縣名間鄉仁和村",336
"南投縣名間鄉南雅村",435
"南投縣名間鄉埔中村",325
"南投縣名間鄉大坑村",273
"南投縣名間鄉大庄村",696
"南投縣名間鄉崁腳村",328
"南投縣名間鄉廍下村",353
"南投縣名間鄉新光村",632
"南投縣名間鄉新厝村",313
"南投縣名間鄉新民村",382
"南投縣名間鄉新街村",1599
"南投縣名間鄉東湖村",635
"南投縣名間鄉松山村",569
"南投縣名間鄉松柏村",416
"南投縣名間鄉濁水村",615
"南投縣名間鄉炭寮村",345
"南投縣名間鄉田仔村",467
"南投縣名間鄉竹圍村",342
"南投縣名間鄉萬丹村",364
"南投縣名間鄉赤水村",453
"南投縣國姓鄉乾溝村",358
"南投縣國姓鄉北山村",638
"南投縣國姓鄉北港村",856
"南投縣國姓鄉南港村",718
"南投縣國姓鄉國姓村",755
"南投縣國姓鄉大旗村",322
"南投縣國姓鄉大石村",319
"南投縣國姓鄉柑林村",487
"南投縣國姓鄉石門村",755
"南投縣國姓鄉福龜村",766
"南投縣國姓鄉長流村",606
"南投縣國姓鄉長福村",344
"南投縣國姓鄉長豐村",378
"南投縣埔里鎮一新里",262
"南投縣埔里鎮北安里",1332
"南投縣埔里鎮北梅里",1334
"南投縣埔里鎮北門里",1133
"南投縣埔里鎮南村里",534
"南投縣埔里鎮南門里",376
"南投縣埔里鎮史港里",238
"南投縣埔里鎮合成里",615
"南投縣埔里鎮同聲里",942
"南投縣埔里鎮向善里",261
"南投縣埔里鎮大城里",2513
"南投縣埔里鎮大湳里",674
"南投縣埔里鎮廣成里",465
"南投縣埔里鎮愛蘭里",623
"南投縣埔里鎮成功里",140
"南投縣埔里鎮房里里",514
"南投縣埔里鎮東門里",1262
"南投縣埔里鎮杷城里",1092
"南投縣埔里鎮枇杷里",3223
"南投縣埔里鎮桃米里",479
"南投縣埔里鎮水頭里",1551
"南投縣埔里鎮泰安里",898
"南投縣埔里鎮清新里",1592
"南投縣埔里鎮溪南里",413
"南投縣埔里鎮牛眠里",1122
"南投縣埔里鎮珠格里",418
"南投縣埔里鎮福興里",413
"南投縣埔里鎮籃城里",364
"南投縣埔里鎮薰化里",490
"南投縣埔里鎮蜈蚣里",1117
"南投縣埔里鎮西門里",1362
"南投縣埔里鎮鐵山里",740
"南投縣埔里鎮麒麟里",438
"南投縣水里鄉上安村",504
"南投縣水里鄉中央村",287
"南投縣水里鄉北埔村",484
"南投縣水里鄉南光村",686
"南投縣水里鄉城中村",458
"南投縣水里鄉新城村",714
"南投縣水里鄉新山村",91
"南投縣水里鄉新興村",298
"南投縣水里鄉民和村",437
"南投縣水里鄉水里村",332
"南投縣水里鄉永興村",169
"南投縣水里鄉永豐村",574
"南投縣水里鄉玉峰村",393
"南投縣水里鄉興隆村",148
"南投縣水里鄉車埕村",242
"南投縣水里鄉農富村",220
"南投縣水里鄉郡坑村",154
"南投縣水里鄉鉅工村",457
"南投縣水里鄉頂崁村",548
"南投縣竹山鎮下坪里",515
"南投縣竹山鎮中和里",375
"南投縣竹山鎮中央里",503
"南投縣竹山鎮中山里",1972
"南投縣竹山鎮中崎里",581
"南投縣竹山鎮中正里",308
"南投縣竹山鎮坪頂里",199
"南投縣竹山鎮大鞍里",261
"南投縣竹山鎮富州里",257
"南投縣竹山鎮山崇里",733
"南投縣竹山鎮延和里",2034
"南投縣竹山鎮延山里",362
"南投縣竹山鎮延平里",1218
"南投縣竹山鎮延正里",654
"南投縣竹山鎮延祥里",1460
"南投縣竹山鎮德興里",361
"南投縣竹山鎮桂林里",1541
"南投縣竹山鎮桶頭里",400
"南投縣竹山鎮瑞竹里",279
"南投縣竹山鎮田子里",269
"南投縣竹山鎮硘󿾨里",736
"南投縣竹山鎮社寮里",462
"南投縣竹山鎮福興里",266
"南投縣竹山鎮秀林里",302
"南投縣竹山鎮竹圍里",1036
"南投縣竹山鎮竹山里",960
"南投縣竹山鎮雲林里",1606
"南投縣竹山鎮鯉魚里",378
"南投縣草屯鎮上林里",1189
"南投縣草屯鎮中原里",741
"南投縣草屯鎮中山里",1025
"南投縣草屯鎮中正里",313
"南投縣草屯鎮加老里",780
"南投縣草屯鎮北勢里",705
"南投縣草屯鎮北投里",1040
"南投縣草屯鎮南埔里",1558
"南投縣草屯鎮和平里",513
"南投縣草屯鎮土城里",644
"南投縣草屯鎮坪頂里",396
"南投縣草屯鎮富寮里",2713
"南投縣草屯鎮山腳里",3078
"南投縣草屯鎮平林里",397
"南投縣草屯鎮御史里",2397
"南投縣草屯鎮復興里",1072
"南投縣草屯鎮敦和里",2514
"南投縣草屯鎮新厝里",1373
"南投縣草屯鎮新庄里",1315
"南投縣草屯鎮新豐里",1468
"南投縣草屯鎮明正里",1613
"南投縣草屯鎮炎峰里",980
"南投縣草屯鎮玉峰里",904
