"CityName","soudelor_maxWind","soudelor_gust","dujuan_maxWind","dujuan_gust","megi_maxWind","megi_gust","matmo_maxWind","matmo_gust","nepartak_maxWind","nepartak_gust","meranti_maxWnd","meranti_gust","nesat_maxWind","nesat_gust"
"基隆市",20.6,45.7,24.3,42.5,18.2,39.3,12,32.4,7.1,19.2,9.5,26,17.6,41.5
"台北市",11.9888888888889,42.4666666666667,12.1333333333333,41.3666666666667,12.6,37.9666666666667,9.66666666666667,27.6333333333333,7.6,21.3666666666667,18.0666666666667,25.5,12.9,33.7666666666667
"新北市",11.9888888888889,42.4666666666667,12.1333333333333,41.3666666666667,12.6,37.9666666666667,9.66666666666667,27.6333333333333,7.6,21.3666666666667,18.0666666666667,25.5,12.9,33.7666666666667
"桃園市",11.825,34.8,11.7,33.85,12.9,37.2,9.3,23.2,7.55,19.85,8.1,20.95,11.7,30.25
"新竹市",10.8,30.4,11.8,30.6,12.7,36.7,7.3,19.9,7.7,20.6,6.9,18.8,9,24.4
"新竹縣",10.8,30.4,11.8,30.6,12.7,36.7,7.3,19.9,7.7,20.6,6.9,18.8,9,24.4
"苗栗縣",10.8,30.4,11.8,30.6,12.7,36.7,7.3,19.9,7.7,20.6,6.9,18.8,9,24.4
"南投縣",19.7,27.45,16.4,34.3,13.3,30.05,10.4,20.1,12.65,26.3,17,37.2,7.2,18.15
"台中市",25.825,42.35,18.15,37.8,22.7,45.7,9.9,27.2,7.5,16.8,6.6,13.05,10.2,21.3
"彰化縣",17.1222222222222,33.2666666666667,15.5666666666667,35.3333333333333,17.5666666666667,37.9666666666667,7.86666666666667,21.2333333333333,6.56666666666667,15.6333333333333,7.13333333333333,17.9,10.1333333333333,20.8666666666667
"雲林縣",9.87777777777778,30.7,10.7,30.1666666666667,11.1,29.9666666666667,6.83333333333333,21.1333333333333,6.03333333333333,16.5666666666667,5.5,16.7333333333333,6.6,17.3
"嘉義市",11.825,30.8,11.2,30.1,10.7,27.85,7.15,20.6,6.95,19.3,6.1,20.3,6.75,15.55
"嘉義縣",11.825,30.8,11.2,30.1,10.7,27.85,7.15,20.6,6.95,19.3,6.1,20.3,6.75,15.55
"台南市",15.8,34.4,11.3,24.6,15.6,36.6,10.6,27.7,12.8,27,19.5,37.1,12.7,23.3
"高雄市",15.9,31,12,22.1,15,34.5,10.5,23.5,15.4,34.3,16.6,39.1,11.7,24.8
"屏東縣",14.8,34.9,10.6,25.5,15.5,31.3,6.8,19.9,10.9,26.1,22.1,57.2,12.5,29.8
"宜蘭縣",29.725,57.9,29.55,59.5,25.95,51.7,16.05,31.5,10.2,21.55,10.95,21.55,26.25,51.9
"臺東縣",9.65555555555556,26.7666666666667,7.66666666666667,22.5333333333333,11.7666666666667,32.7333333333333,16.7333333333333,31,15.7,44.9666666666667,12.7333333333333,28.0333333333333,17.2333333333333,20.5666666666667
"花蓮縣",19.1,43.5,23.5,38.8,20.7,44.2,19.1,34.6,9.8,17.7,10.3,21.9,18.7,35.2
"澎湖縣",27.2888888888889,46.7666666666667,22.3666666666667,36.2666666666667,28.3666666666667,43.4333333333333,19.8666666666667,31.1,17.2,29.7666666666667,26,43.6666666666667,16.2666666666667,27.1333333333333
"連江縣",17.15,35.5,12.95,26.4,18.3,29.75,14.85,29.9,10.6,18.1,27.6,44.35,22.55,19.2
"金門縣",17.15,35.5,12.95,26.4,18.3,29.75,14.85,29.9,10.6,18.1,27.6,44.35,22.55,19.2
