"pole1","pole2","pole3","pole4","pole5","pole6","pole7","pole8","pole9","pole10","key"
0,0,0,0,0,97,0,0,0,0,"南投縣中寮鄉中寮村"
0,3,0,11,15,649,0,0,0,0,"南投縣中寮鄉內城村"
0,0,0,1,24,306,0,0,0,0,"南投縣中寮鄉八仙村"
0,16,1,20,72,1466,0,0,2,0,"南投縣中寮鄉和興村"
0,2,0,1,23,604,0,0,0,0,"南投縣中寮鄉崁頂村"
0,0,0,2,39,624,0,0,0,0,"南投縣中寮鄉廣福村"
0,2,0,2,45,732,0,0,0,0,"南投縣中寮鄉廣興村"
0,5,0,6,37,472,0,0,0,0,"南投縣中寮鄉復興村"
0,6,0,2,29,489,0,0,0,0,"南投縣中寮鄉永和村"
0,1,0,0,33,261,0,0,0,0,"南投縣中寮鄉永平村"
0,3,0,2,40,681,0,0,0,0,"南投縣中寮鄉永福村"
0,1,0,0,20,373,0,0,0,0,"南投縣中寮鄉永芳村"
0,8,0,13,63,1360,0,0,0,0,"南投縣中寮鄉清水村"
0,1,0,1,16,315,0,0,0,0,"南投縣中寮鄉爽文村"
0,6,0,3,83,1306,0,0,1,0,"南投縣中寮鄉福盛村"
0,4,0,1,16,219,0,0,0,0,"南投縣中寮鄉義和村"
0,1,0,1,17,344,0,0,0,0,"南投縣中寮鄉龍安村"
0,1,0,0,27,185,0,0,0,0,"南投縣中寮鄉龍岩村"
0,7,0,4,119,808,0,0,0,0,"南投縣仁愛鄉中正村"
0,1,0,3,49,1150,0,0,0,0,"南投縣仁愛鄉互助村"
0,11,0,10,35,440,0,0,0,0,"南投縣仁愛鄉力行村"
0,18,2,7,99,899,0,0,0,0,"南投縣仁愛鄉南豐村"
1,20,0,26,52,769,0,0,2,0,"南投縣仁愛鄉合作村"
0,64,0,18,106,1268,0,0,0,0,"南投縣仁愛鄉大同村"
1,5,0,2,25,420,0,0,0,0,"南投縣仁愛鄉新生村"
0,13,0,4,31,256,0,0,0,0,"南投縣仁愛鄉春陽村"
0,7,5,42,15,300,0,0,0,0,"南投縣仁愛鄉榮興村"
0,15,1,0,138,684,0,0,0,0,"南投縣仁愛鄉法治村"
0,31,0,19,153,1178,0,0,0,0,"南投縣仁愛鄉發祥村"
0,32,0,37,103,1442,0,0,0,0,"南投縣仁愛鄉精英村"
0,4,1,42,18,585,0,0,4,0,"南投縣仁愛鄉翠華村"
0,7,0,10,62,589,0,0,0,0,"南投縣仁愛鄉萬豐村"
2,28,3,28,140,1176,0,0,0,0,"南投縣仁愛鄉親愛村"
0,56,6,75,113,1498,0,0,15,0,"南投縣信義鄉人和村"
0,58,0,19,141,1155,0,0,0,0,"南投縣信義鄉同富村"
0,16,0,5,77,450,0,0,0,0,"南投縣信義鄉地利村"
1,5,2,39,55,509,0,0,3,0,"南投縣信義鄉愛國村"
0,5,0,3,27,298,0,0,0,0,"南投縣信義鄉新鄉村"
0,35,3,172,61,928,0,0,18,0,"南投縣信義鄉明德村"
0,16,0,9,83,806,0,0,0,0,"南投縣信義鄉望美村"
0,10,0,5,35,363,0,1,1,0,"南投縣信義鄉東埔村"
0,9,0,0,50,326,0,0,0,0,"南投縣信義鄉潭南村"
1,20,1,30,71,560,0,0,1,0,"南投縣信義鄉神木村"
0,7,0,11,42,601,0,0,0,0,"南投縣信義鄉羅娜村"
0,13,0,59,112,1050,0,0,3,0,"南投縣信義鄉自強村"
0,13,0,19,36,352,0,0,0,0,"南投縣信義鄉豐丘村"
0,9,0,20,30,518,0,0,0,0,"南投縣信義鄉雙龍村"
0,0,0,0,0,4,0,0,0,0,"南投縣南投市三民里"
0,2,0,3,34,365,0,0,0,0,"南投縣南投市三興里"
0,1,0,4,14,67,0,0,0,0,"南投縣南投市光明里"
0,2,0,0,2,69,0,0,0,0,"南投縣南投市光榮里"
0,0,0,0,4,46,0,0,0,0,"南投縣南投市光華里"
0,0,0,0,0,27,0,0,0,0,"南投縣南投市光輝里"
