CityName,TownName,VilCode,VilName,NesatAndHaitang,Megi
台北市,松山區,6300100-002,莊敬里,122.8841201231,566.972270026
台北市,松山區,6300100-003,東榮里,142.4939283649,282.692612829
台北市,松山區,6300100-004,三民里,129.322949597,277.7082886829
台北市,松山區,6300100-005,新益里,14.0189590604,79.5538961545
台北市,松山區,6300100-006,富錦里,13.4585358783,58.0125031489
台北市,松山區,6300100-007,新東里,30.3014289105,86.4006051227
台北市,松山區,6300100-008,富泰里,13.6219334342,70.9220755207
台北市,松山區,6300100-009,介壽里,13.1958657317,104.7686935598
台北市,松山區,6300100-010,精忠里,26.0422768024,191.7368919228
台北市,松山區,6300100-011,東光里,131.6271033649,225.4395374829
台北市,松山區,6300100-012,龍田里,383.508899553,695.2409143667
台北市,松山區,6300100-013,東昌里,28.0977582977,72.6528568947
台北市,松山區,6300100-014,東勢里,15.5050946238,141.0210845183
台北市,松山區,6300100-015,中華里,15.5304337,64.8992602811
台北市,松山區,6300100-016,民有里,291.374659968,231.1297263695
台北市,松山區,6300100-017,民福里,119.2267861857,302.4470598314
台北市,松山區,6300100-018,慈祐里,384.134987339,143.7426520056
台北市,松山區,6300100-019,安平里,317.675658121,205.4193905069
台北市,松山區,6300100-020,鵬程里,22.5356694538,267.6949762616
台北市,松山區,6300100-021,自強里,413.1346065845,316.861742398
台北市,松山區,6300100-022,吉祥里,252.9164576392,721.0654474395
台北市,松山區,6300100-024,新聚里,276.7683751485,287.8470594549
台北市,松山區,6300100-025,復盛里,15.5304337,65.2878602811
台北市,松山區,6300100-026,中正里,421.1755983675,196.8436487189
台北市,松山區,6300100-027,中崙里,13.1958657317,105.0124009672
台北市,松山區,6300100-028,美仁里,7.4323332222,75.120393515
台北市,松山區,6300100-029,吉仁里,12.2544013853,91.3894837805
台北市,松山區,6300100-030,敦化里,18.3011026246,264.8372721855
台北市,松山區,6300100-031,復源里,20.0179317022,73.0991251164
台北市,松山區,6300100-032,復建里,12.9225421495,94.6977819481
台北市,松山區,6300100-033,復勢里,22.0892719266,295.3732987506
台北市,松山區,6300100-034,福成里,7.4897752025,64.8398177718
台北市,松山區,6300100-035,松基里,20.3060260645,102.3485455615
台北市,信義區,6300200-001,西村里,129.322949597,277.5849332338
台北市,信義區,6300200-002,正和里,13.0615091458,110.0733991671
台北市,信義區,6300200-003,興隆里,12.3527927548,71.2169511793
台北市,信義區,6300200-004,中興里,12.1468947394,102.9583879169
台北市,信義區,6300200-005,新仁里,17.7085311557,154.9276573661
台北市,信義區,6300200-006,興雅里,15.5304337,63.3270381029
台北市,信義區,6300200-007,敦厚里,17.5182299366,62.3118590517
台北市,信義區,6300200-008,廣居里,176.4794945447,425.189031327
台北市,信義區,6300200-009,安康里,608.393296256,240.1529958822
台北市,信義區,6300200-010,六藝里,7.5079932222,179.9860980658
台北市,信義區,6300200-011,雅祥里,27.7336584419,88.3140080618
台北市,信義區,6300200-012,五常里,15.9662386834,103.6074370473
