CityName,TownName,VilCode,VilName,NesatAndHaitang,Megi,NesatAndHaitang,Megi
台北市,松山區,6300100-002,莊敬里,122.8841201231,566.972270026,121.8267855153,470.4912360477
台北市,松山區,6300100-003,東榮里,142.4939283649,282.692612829,149.8466753391,454.6970548873
台北市,松山區,6300100-004,三民里,129.322949597,277.7082886829,117.9543674576,448.2503068673
台北市,松山區,6300100-005,新益里,14.0189590604,79.5538961545,21.9969076357,123.8654281229
台北市,松山區,6300100-006,富錦里,13.4585358783,58.0125031489,28.6175191855,88.3818690773
台北市,松山區,6300100-007,新東里,30.3014289105,86.4006051227,36.4470403661,82.5207968819
台北市,松山區,6300100-008,富泰里,13.6219334342,70.9220755207,38.2149777198,131.8840770274
台北市,松山區,6300100-009,介壽里,13.1958657317,104.7686935598,40.3530436052,175.8043250551
台北市,松山區,6300100-010,精忠里,26.0422768024,191.7368919228,34.0619466907,222.93944863
台北市,松山區,6300100-011,東光里,131.6271033649,225.4395374829,142.5804353391,435.889458571
台北市,松山區,6300100-012,龍田里,383.508899553,695.2409143667,309.9263114619,753.5511846081
台北市,松山區,6300100-013,東昌里,28.0977582977,72.6528568947,40.5359594218,182.1673661592
台北市,松山區,6300100-014,東勢里,15.5050946238,141.0210845183,22.6281945311,201.1842920937
台北市,松山區,6300100-015,中華里,15.5304337,64.8992602811,27.6081731675,95.442428559
台北市,松山區,6300100-016,民有里,291.374659968,231.1297263695,279.0907743876,292.7554011806
台北市,松山區,6300100-017,民福里,119.2267861857,302.4470598314,141.4087287643,368.5907504462
台北市,松山區,6300100-018,慈祐里,384.134987339,143.7426520056,298.6882330719,222.6063761882
台北市,松山區,6300100-019,安平里,317.675658121,205.4193905069,299.3012715635,257.6175921952
台北市,松山區,6300100-020,鵬程里,22.5356694538,267.6949762616,42.2916345728,161.2383904713
台北市,松山區,6300100-021,自強里,413.1346065845,316.861742398,347.2062977719,480.1652534856
台北市,松山區,6300100-022,吉祥里,252.9164576392,721.0654474395,223.8650395803,704.2879715523
台北市,松山區,6300100-024,新聚里,276.7683751485,287.8470594549,270.5320564133,462.2240931466
台北市,松山區,6300100-025,復盛里,15.5304337,65.2878602811,27.6081731675,96.8230135634
台北市,松山區,6300100-026,中正里,421.1755983675,196.8436487189,333.712169351,273.4084626641
台北市,松山區,6300100-027,中崙里,13.1958657317,105.0124009672,40.4256402718,175.8043250551
台北市,松山區,6300100-028,美仁里,7.4323332222,75.120393515,16.1599894223,124.3995880401
台北市,松山區,6300100-029,吉仁里,12.2544013853,91.3894837805,24.3470935316,149.7638966201
台北市,松山區,6300100-030,敦化里,18.3011026246,264.8372721855,39.3540109647,494.0005650489
台北市,松山區,6300100-031,復源里,20.0179317022,73.0991251164,41.8464960381,155.8575662498
台北市,松山區,6300100-032,復建里,12.9225421495,94.6977819481,37.0141476786,175.7088957953
台北市,松山區,6300100-033,復勢里,22.0892719266,295.3732987506,40.8908990309,176.0073092863
台北市,松山區,6300100-034,福成里,7.4897752025,64.8398177718,15.0432438014,136.2535147308
台北市,松山區,6300100-035,松基里,20.3060260645,102.3485455615,54.5277294466,177.4806384426
台北市,信義區,6300200-001,西村里,129.322949597,277.5849332338,117.9543674576,448.2552402007
台北市,信義區,6300200-002,正和里,13.0615091458,110.0733991671,38.5435062912,179.7772279565
台北市,信義區,6300200-003,興隆里,12.3527927548,71.2169511793,30.4301584401,151.8209413603
台北市,信義區,6300200-004,中興里,12.1468947394,102.9583879169,27.9211018649,161.3190285744
台北市,信義區,6300200-005,新仁里,17.7085311557,154.9276573661,18.6767741031,201.282063731
台北市,信義區,6300200-006,興雅里,15.5304337,63.3270381029,27.6081731675,95.4452660927
台北市,信義區,6300200-007,敦厚里,17.5182299366,62.3118590517,25.185385538,76.1412573701
台北市,信義區,6300200-008,廣居里,176.4794945447,425.189031327,161.9219775173,551.9958325308
台北市,信義區,6300200-009,安康里,608.393296256,240.1529958822,573.3850240152,394.6467538948
台北市,信義區,6300200-010,六藝里,7.5079932222,179.9860980658,17.2116567546,213.6589652685
台北市,信義區,6300200-011,雅祥里,27.7336584419,88.3140080618,36.7096173332,87.0862691816
台北市,信義區,6300200-012,五常里,15.9662386834,103.6074370473,25.9659497549,147.8204439302
台北市,信義區,6300200-013,五全里,12.8557859342,69.3782178974,38.2149777198,129.3568260537
台北市,信義區,6300200-014,永吉里,13.1369868313,129.4671571974,19.8455378456,159.7873139246
台北市,信義區,6300200-015,長春里,13.1958657317,144.1936919956,36.4565120803,193.4737283537
台北市,信義區,6300200-016,四育里,22.9949969096,146.2761902525,25.3763295238,137.7179985981
台北市,信義區,6300200-017,四維里,16.9525965939,62.7487727344,38.4510217976,113.1014369798
台北市,信義區,6300200-018,永春里,8.5840277529,124.4376163511,24.2863322646,151.4927282437
台北市,信義區,6300200-019,富臺里,180.645424744,331.1028074657,214.4856805252,400.5314355965
台北市,信義區,6300200-020,國業里,131.6271033649,225.9835667422,142.5804353391,437.2373659665
台北市,信義區,6300200-021,松隆里,186.1168722697,666.0662197701,180.7015597365,614.9580896399
台北市,信義區,6300200-022,松友里,113.2381071985,240.3254646096,133.7820341101,273.7808906766
台北市,信義區,6300200-023,松光里,14.1225558783,59.6794155064,28.0654684609,98.1348725374
台北市,信義區,6300200-024,中坡里,130.3587198377,196.574260451,146.5059544245,273.1485412135
台北市,信義區,6300200-025,中行里,211.336928512,610.3346221301,207.609100912,695.1461452986
台北市,信義區,6300200-026,大道里,18.3011026246,61.8062691803,40.9896109647,116.7826817668
